Col1,Col2
1.9040909,2.0506558
1.874037,2.075281
1.8445411,2.0966144
1.8149099,2.115962
1.7657182,2.1451285
1.7149005,2.171802
1.6625667,2.196033
1.6088345,2.2178862
1.5539365,2.2333083
1.5005612,2.2380638
1.4462132,2.2396052
1.3907859,2.2394612
1.3310974,2.2376058
1.2704973,2.2341337
1.2091298,2.229182
1.1471293,2.2228885
1.0769858,2.2143993
1.0042448,2.2067604
0.9293615,2.1998274
0.8543151,2.191862
0.766084,2.1813958
0.681451,2.1715844
0.5970811,2.161221
0.5045083,2.1582346
0.4051262,2.1544793
0.30626017,2.1503346
0.21149504,2.1406858
0.124120414,2.1251538
0.039346933,2.116893
-0.045166016,2.1113229
-0.12916604,2.1058817
-0.21270812,2.100468
-0.29812986,2.0949144
-0.38177013,2.0900733
-0.4540065,2.091339
-0.52577704,2.0924242
-0.60074157,2.0921178
-0.66273546,2.0893505
-0.72918195,2.0775335
-0.8059863,2.0653274
-0.88687855,2.0538185
-0.9664149,2.041371
-1.0482714,2.0281806
-1.1329618,2.0080485
-1.1991181,1.9888923
-1.2641796,1.9686803
-1.328022,1.9473287
-1.3853071,1.9256964
-1.440795,1.9024639
-1.4947009,1.8778985
-1.5468976,1.851955
-1.5954318,1.826522
-1.6359088,1.8031673
-1.6721351,1.7698095
-1.7066231,1.7350647
-1.7393179,1.6989583
-1.769299,1.6626414
-1.7975211,1.6251211
-1.8239679,1.5864507
-1.8486362,1.5466918
-1.8716726,1.5056542
-1.8929377,1.4636605
-1.9124634,1.4207913
-1.9302936,1.3771293
-1.946677,1.3317329
-1.961257,1.2845285
-1.9742792,1.2367502
-1.9858243,1.1884853
-1.996526,1.136991
-2.0065575,1.0839157
-2.0204632,1.027817
-2.03505,0.9707409
-2.043585,0.9221343
-2.0440617,0.87371993
-2.0386794,0.8195001
-2.0322816,0.7651136
-2.0259938,0.6977923
-2.0194857,0.63000095
-2.012193,0.5623238
-2.0086803,0.4989569
-2.0060043,0.4310694
-2.0098746,0.3522357
-2.013436,0.27385122
-2.0132658,0.18403623
-2.009373,0.08815171
-2.00547,-0.0072031096
-2.0015829,-0.10202913
-1.9998507,-0.19195026
-2.0050967,-0.26585802
-2.0088196,-0.33793148
-2.0111163,-0.40986168
-2.0128343,-0.48147342
-2.0142612,-0.5551052
-2.0151913,-0.6281595
-2.0132935,-0.70636487
-2.0102506,-0.78465915
-2.0066073,-0.8730196
-2.0055664,-0.97023666
-1.9984446,-1.0578624
-1.9835713,-1.1330324
-1.9709191,-1.1879959
-1.9560113,-1.2388287
-1.9415576,-1.2822744
-1.9259284,-1.3244368
-1.9086616,-1.3653022
-1.8896825,-1.4047651
-1.862164,-1.4464748
-1.8307605,-1.4868348
-1.7993608,-1.5228195
-1.7640085,-1.5556945
-1.726855,-1.5869817
-1.6866696,-1.6181383
-1.6494193,-1.644152
-1.6106865,-1.6684307
-1.5704098,-1.6910254
-1.5286611,-1.7119395
-1.4852343,-1.7313087
-1.440492,-1.7490153
-1.3945326,-1.7650964
-1.3474572,-1.7795979
-1.2984338,-1.7928126
-1.2484717,-1.8045117
-1.1976824,-1.8147696
-1.1461736,-1.8236666
-1.0907798,-1.8317219
-1.0348122,-1.8384415
-0.9783834,-1.843932
-0.9215967,-1.8483006
-0.8571414,-1.8520188
-0.79247284,-1.8545913
-0.72769815,-1.8561611
-0.66290915,-1.8568658
-0.5869104,-1.856761
-0.51109964,-1.8558306
-0.43064827,-1.8579077
-0.34797692,-1.8536625
-0.2586246,-1.8434721
-0.17302921,-1.8322212
-0.10343146,-1.8275442
-0.037095457,-1.8246812
0.024744928,-1.8215268
0.08580077,-1.818777
0.14565629,-1.817725
0.20440525,-1.8181828
0.26508564,-1.8188981
0.34185225,-1.8299491
0.4180733,-1.8407431
0.48525757,-1.8466346
0.55360466,-1.8545063
0.62139946,-1.8618045
0.6885719,-1.8683672
0.7550331,-1.8740141
0.83054847,-1.879125
0.9049775,-1.8819696
0.9785997,-1.8810214
1.0526297,-1.8724309
1.1126573,-1.8648001
1.1670549,-1.8568122
1.203399,-1.8455762
1.2387247,-1.830241
1.2798085,-1.7891821
1.3195169,-1.7463166
1.3577671,-1.7016332
1.3964696,-1.6533533
1.4347365,-1.6033665
1.4716456,-1.5589732
1.5069458,-1.5138654
1.5405867,-1.4675412
1.5723968,-1.4202999
1.5957215,-1.3718159
1.6136792,-1.3261349
1.6299975,-1.2794414
1.6448269,-1.231431
1.6580753,-1.1825756
1.6697984,-1.132969
1.6800604,-1.0827061
1.690131,-1.0340334
1.699182,-0.98667467
1.7069082,-0.93889046
1.7134004,-0.8907647
1.719177,-0.8380718
1.7237248,-0.7851598
1.7271655,-0.73211217
1.7302544,-0.68000114
1.7343884,-0.62064385
1.7391515,-0.5620321
1.743021,-0.5035385
1.7461472,-0.44522038
1.7490594,-0.37688592
1.7513304,-0.30890673
1.7531316,-0.24131647
1.7546062,-0.17413253
1.75583,-0.10957894
1.756938,-0.04540792
1.7577183,0.019249361
1.7582941,0.08412323
1.7588706,0.14934294
1.7594345,0.21418287
1.7622333,0.28095323
1.761904,0.34763715
1.7549098,0.41651118
1.7477598,0.48379523
1.7424908,0.54210246
1.7382419,0.5980935
1.7329435,0.65692234
1.7230995,0.7188977
