Col1,Col2
1.9469998,0.066735625
1.9466107,0.08080826
1.9462223,0.09486735
1.9448938,0.109085925
1.9429524,0.17911702
1.9404383,0.24704237
1.937207,0.31248212
1.9335651,0.37763616
1.9292161,0.45857683
1.9245484,0.5389634
1.9194283,0.61874247
1.9135475,0.69785917
1.9065833,0.78082454
1.8959696,0.85394096
1.8856585,0.9257126
1.8744655,0.9957068
1.8630755,1.0522529
1.850322,1.1075765
1.8360736,1.1615331
1.820205,1.2139702
1.8026006,1.2647326
1.7831573,1.3136616
1.7617874,1.3606019
1.7382865,1.4053513
1.7138548,1.4456103
1.6879635,1.4861273
1.6580889,1.5267762
1.625478,1.5611874
1.591989,1.5919034
1.5570266,1.6209165
1.5206392,1.6481991
1.4828522,1.6737306
1.4475436,1.6932245
1.4131806,1.7085068
1.3776579,1.7220842
1.3408849,1.733945
1.3029497,1.7443253
1.2646229,1.7534176
1.2256525,1.7610977
1.1848438,1.7669724
1.1425462,1.7717646
1.0995984,1.7748646
1.0556798,1.7770389
1.0030708,1.7803727
0.94781953,1.7834476
0.8922549,1.7854198
0.83647746,1.7864085
0.77520794,1.7855073
0.7095503,1.7846873
0.64393336,1.7828857
0.5784303,1.7799833
0.4995851,1.7827263
0.40286934,1.7905946
0.3066771,1.7978393
0.21105087,1.8046372
0.12011856,1.8108342
0.043774873,1.8102266
-0.023322359,1.803839
-0.08407414,1.7970904
-0.1429207,1.7888477
-0.20198847,1.7806605
-0.26053202,1.771959
-0.32125664,1.7591165
-0.39160138,1.7359194
-0.46122184,1.7122073
-0.52863365,1.7001107
-0.58098966,1.7037777
-0.6512622,1.7146524
-0.7238238,1.7260617
-0.7952951,1.7363992
-0.86548936,1.7454467
-0.9245847,1.7530284
-0.97416043,1.7496059
-1.0272385,1.7384641
-1.0789638,1.7259513
-1.1292627,1.7107512
-1.1781356,1.6929388
-1.2244556,1.6722493
-1.2691123,1.6500077
-1.311873,1.6240752
-1.3519044,1.5974793
-1.3891795,1.5681794
-1.4241908,1.5372729
-1.4564054,1.5050292
-1.4862497,1.4722955
-1.5142293,1.4382741
-1.540333,1.4030114
-1.5646331,1.3665364
-1.5871239,1.3287365
-1.6077573,1.2898707
-1.6265728,1.2500162
-1.6437271,1.2092142
-1.6590316,1.167158
-1.670784,1.1247526
-1.6793585,1.0816698
-1.6871772,1.0359762
-1.694957,0.9855716
-1.7022958,0.9379909
-1.708394,0.88994086
-1.7135673,0.84152997
-1.7178199,0.78722
-1.7206483,0.7336459
-1.7223988,0.6799749
-1.7230668,0.6263814
-1.7228417,0.5634063
-1.721798,0.50053036
-1.7200992,0.43782926
-1.7177062,0.37532747
-1.714597,0.30206236
-1.7120714,0.22534601
-1.7094877,0.14845765
-1.7047131,0.077905156
-1.6994736,0.015191026
-1.6942477,-0.047153503
-1.689048,-0.10913661
-1.6838276,-0.17078802
-1.6784775,-0.23391408
-1.6730652,-0.29667118
-1.6675193,-0.35905024
-1.6616879,-0.4210671
-1.655343,-0.4849231
-1.6485009,-0.5482651
-1.641007,-0.6110202
-1.6322577,-0.6733432
-1.6214573,-0.7431809
-1.6090581,-0.8117889
-1.5947771,-0.878927
-1.5805652,-0.943051
-1.5672259,-0.98630095
-1.5525644,-1.0284932
-1.5365472,-1.069525
-1.5191054,-1.1092932
-1.5001812,-1.1476955
-1.479996,-1.1843328
-1.4588804,-1.2187036
-1.4366674,-1.2512106
-1.413698,-1.2806466
-1.3891568,-1.3084738
-1.3627405,-1.3344617
-1.3341997,-1.3586738
-1.3043079,-1.3809689
-1.273155,-1.4016541
-1.2408004,-1.42073
-1.207092,-1.4381025
-1.1722617,-1.4540946
-1.1365502,-1.4686625
-1.0998805,-1.48166
-1.0588479,-1.4954313
-1.0154767,-1.5084537
-0.9713094,-1.5199198
-0.9274467,-1.5258487
-0.88335663,-1.5267155
-0.83324414,-1.5299472
-0.7828387,-1.5321662
-0.7347039,-1.5374298
-0.6835903,-1.5433785
-0.6271633,-1.547396
-0.56715584,-1.5533715
-0.50716376,-1.5584741
-0.44385418,-1.5648925
-0.37459525,-1.5692424
-0.32013902,-1.5658395
-0.27691746,-1.5678791
-0.2357433,-1.5731913
-0.19824757,-1.577743
-0.15582609,-1.5770125
-0.104082614,-1.5655333
-0.05287163,-1.553949
0.0017457604,-1.5448544
0.06779811,-1.5418991
0.13431236,-1.5392549
0.20140618,-1.5371073
0.26954085,-1.5343215
0.33636516,-1.5300853
0.40416282,-1.5236626
0.47153264,-1.5145676
0.5391003,-1.501977
0.6040447,-1.4850276
0.6680842,-1.4674025
0.72660285,-1.4479462
0.77784675,-1.431314
0.82808834,-1.4138659
0.87763065,-1.3961831
0.9266048,-1.3786407
0.97421247,-1.3599731
1.0208368,-1.3359718
1.0657859,-1.3109
1.1057804,-1.2852565
1.1401556,-1.2626743
1.1730576,-1.2391542
1.2028458,-1.2183127
1.2280304,-1.2020421
1.2509179,-1.1859246
1.2723374,-1.1688741
1.2922685,-1.1509112
1.3106825,-1.1320531
1.3275738,-1.1124064
1.342983,-1.0919527
1.35693,-1.0707372
1.3694844,-1.0488304
1.3806882,-1.0260458
1.3905227,-1.002645
1.3990424,-0.9786848
1.4064293,-0.9542897
1.4127154,-0.928357
1.4197986,-0.8979441
1.4260361,-0.8666154
1.431416,-0.83500004
1.435982,-0.7997469
1.439183,-0.7599212
1.4414701,-0.7199515
1.4430187,-0.6798912
1.4438026,-0.63307786
1.4437752,-0.5862943
1.4437249,-0.53385353
1.4435556,-0.47687593
1.4428926,-0.40979603
1.441791,-0.3430183
1.4403834,-0.2765906
1.4387832,-0.21054357
1.4370735,-0.1451681
1.435312,-0.0801879
1.4335389,-0.015601829
1.4317539,0.04859828
1.4299598,0.11342844
1.428144,0.17786643
1.4261894,0.24174789
1.4232743,0.30386198
1.417484,0.36207306
1.4111068,0.4192532
1.4052501,0.47586897
1.3998308,0.53183675
1.3932533,0.59179604
1.3840663,0.65066814
1.3734951,0.7084726
1.3628595,0.7649678
1.3529258,0.8056097
1.3419194,0.8453611
1.3294234,0.88442934
1.314379,0.92361224
1.2980068,0.961632
1.2802501,0.99838734
1.2610645,1.0337808
1.2412593,1.0676758
1.2211833,1.0973096
1.1998742,1.1256008
1.1773403,1.1524986
1.1539149,1.1779449
1.1297271,1.201287
1.1070516,1.2202791
1.0850294,1.2359351
1.0619435,1.2501711
1.0378363,1.2630895
1.0128369,1.2746136
0.9870066,1.2847769
0.96017915,1.2936054
0.9323973,1.3012986
0.9039615,1.3077352
0.8749421,1.3129784
0.84398097,1.3173369
0.807924,1.3231032
0.7714469,1.327762
0.73462725,1.3314008
0.69492537,1.3340629
0.6519609,1.3361412
0.607465,1.3365389
0.55996114,1.3345846
0.50780344,1.3336138
0.4506219,1.3337148
0.39358085,1.333224
0.33673805,1.3322628
0.27207124,1.3338503
0.20007718,1.3389282
0.12853774,1.3436995
0.064338565,1.344858
0.0102597475,1.3420309
-0.042162716,1.3391213
-0.09426518,1.3362217
-0.14605,1.3333375
-0.19526713,1.3291279
-0.23908961,1.3211478
-0.28260836,1.3131207
-0.32924291,1.3013554
-0.38123333,1.2917682
-0.43345094,1.284775
-0.4826483,1.2791852
-0.5203583,1.2840669
-0.56302696,1.2893494
-0.6067778,1.2949994
-0.65254176,1.2907075
-0.6978402,1.283676
-0.742006,1.275451
-0.7849024,1.2659122
-0.8264407,1.2538947
-0.866475,1.23943
-0.9020672,1.2241348
-0.93407005,1.2076205
-0.9637478,1.1886683
-0.99177283,1.1680704
-1.0174267,1.145236
-1.040884,1.120632
-1.0630447,1.0949072
-1.0837245,1.0682511
-1.1029102,1.0406864
-1.120718,1.0122061
-1.1371803,0.9828007
-1.1523149,0.9525268
-1.1661971,0.9214417
-1.1788582,0.889344
-1.1902721,0.8565594
-1.2004882,0.82315814
-1.2097552,0.78919435
-1.2178607,0.75299406
-1.2244182,0.7193849
-1.2300141,0.6862093
-1.2348757,0.652742
-1.2389884,0.6147852
-1.2421098,0.576585
-1.2443497,0.5382167
-1.2458634,0.49975383
-1.2466717,0.4561753
-1.246762,0.41261286
-1.2462602,0.36912546
-1.2451556,0.32574195
-1.2440033,0.2728993
-1.2431846,0.21843174
-1.2421072,0.16428
-1.2408533,0.110456735
-1.2395113,0.05628848
-1.2381343,0.0024629906
-1.2354302,-0.048533887
-1.2310188,-0.096028
-1.2265475,-0.14421326
-1.2220532,-0.1921021
-1.2174816,-0.2396917
-1.212709,-0.28699598
-1.2075397,-0.33573982
-1.201983,-0.38408652
-1.1958995,-0.4319798
-1.1888487,-0.47949472
-1.1802238,-0.53167415
-1.1702836,-0.5829207
-1.1587787,-0.6330426
-1.1472273,-0.6808982
-1.137167,-0.7132375
-1.1260934,-0.74474525
-1.1139417,-0.77533686
-1.1006563,-0.80492914
-1.0861894,-0.8334371
-1.0705042,-0.8607795
-1.0535761,-0.88688016
-1.0359747,-0.9113642
-1.0180662,-0.9330604
-0.9990905,-0.95353985
-0.97906566,-0.97276926
-0.95830107,-0.9905772
-0.93675214,-1.0068924
-0.91196877,-1.0235796
-0.88629955,-1.039086
-0.85936105,-1.0534478
-0.83111584,-1.0666772
-0.80216616,-1.0787616
-0.7725769,-1.0897329
-0.74238783,-1.0993776
-0.714008,-1.1045374
-0.68514585,-1.1086142
-0.65586835,-1.111676
-0.6243205,-1.1150416
-0.58923113,-1.1180799
-0.5493809,-1.1246418
-0.5092014,-1.1304559
-0.46707952,-1.1365616
-0.42265347,-1.1409911
-0.38419873,-1.1420454
-0.34582558,-1.1424229
-0.30914682,-1.1475053
-0.27330926,-1.1549706
-0.24467455,-1.1656879
-0.2208715,-1.1718576
-0.18513091,-1.1694316
-0.14477986,-1.1661868
-0.104684174,-1.1628315
-0.06484483,-1.1594361
-0.025142416,-1.1556091
0.023784786,-1.1531025
0.07657966,-1.1524842
0.12722507,-1.1501864
0.17752734,-1.1524808
0.22856775,-1.1544865
0.2816764,-1.1480854
0.33482933,-1.1395802
0.3890437,-1.1312513
0.4450574,-1.1210217
0.50009966,-1.1100024
0.55204684,-1.094486
0.5973805,-1.0762837
0.6323701,-1.0645738
0.6665003,-1.0521415
0.69967836,-1.0389296
0.7327912,-1.0245816
0.765001,-1.0092837
0.7959797,-0.9930731
0.82563895,-0.9759253
0.8529214,-0.9576323
0.87735933,-0.94037807
0.90053624,-0.922341
0.9205156,-0.90791285
0.93796295,-0.89471877
0.95373803,-0.8814678
0.96831805,-0.8674717
0.9817073,-0.85276055
0.9937509,-0.8374665
1.0032961,-0.8221743
1.0118015,-0.8062291
1.0205078,-0.7872251
1.028714,-0.7670299
1.0362742,-0.74429786
1.0433323,-0.7171608
1.049525,-0.68938327
1.0550404,-0.66112983
1.060003,-0.6298517
1.0641615,-0.59809947
1.0675063,-0.5648732
1.0700815,-0.52912927
1.0721817,-0.48895058
1.0736616,-0.44859627
1.0746124,-0.408146
1.0750804,-0.36765343
1.0751929,-0.32048243
1.074924,-0.27342477
1.0743699,-0.22653565
1.0735202,-0.17982128
1.072494,-0.12709223
1.0704784,-0.074805036
1.0682852,-0.022874653
1.0639958,0.024072222
1.0596831,0.07026709
1.0553858,0.11616537
1.0510767,0.16176735
1.0466714,0.20707197
1.0436308,0.25368536
1.0397878,0.29772288
1.0354121,0.34076554
1.0297556,0.3839894
1.0223465,0.43053392
1.0140357,0.47640657
1.0046268,0.5214782
0.9942333,0.5655801
0.9829671,0.60568154
0.97025913,0.6446471
0.9559739,0.6823118
0.94146794,0.71842945
0.9275107,0.746279
0.9123731,0.7729883
0.89603275,0.79847825
0.87941045,0.8226285
0.8628722,0.8429831
0.847809,0.8594917
0.8326891,0.87389004
0.816932,0.88714576
0.800602,0.8988819
0.7835073,0.9095249
0.7656885,0.919086
0.7470656,0.92757595
0.72767335,0.93513024
0.707686,0.9416547
0.6860146,0.94660306
0.6594943,0.9515836
0.6313353,0.9560822
0.60269785,0.95961416
0.5736544,0.96224797
0.5430633,0.96397924
0.50974035,0.9669657
0.4756856,0.9700358
0.44144815,0.97240436
0.40497184,0.9743265
0.3661195,0.97565377
0.3272586,0.9763975
0.28844488,0.9766557
0.24616349,0.9768095
0.20016283,0.9762397
0.15438756,0.9753419
0.10844377,0.9747442
0.064509064,0.97527933
0.024141103,0.9733621
-0.01596257,0.9714087
-0.055804178,0.9694537
-0.09582096,0.9675484
-0.13400236,0.9650037
-0.17149872,0.9623209
-0.20872204,0.95956707
-0.24637488,0.9567306
-0.28297907,0.96049213
-0.31579426,0.96281576
-0.35455912,0.95722413
-0.39082298,0.9510194
-0.42652047,0.9376097
-0.45334435,0.9292009
-0.48042768,0.92158234
-0.50968933,0.9127492
-0.53972054,0.9035003
-0.57256776,0.8946613
-0.6042119,0.88343084
-0.6326332,0.8701937
-0.6575805,0.857545
-0.6813539,0.843714
-0.7038902,0.82868004
-0.7243109,0.812448
-0.74254274,0.7966112
-0.75964314,0.7797904
-0.77559555,0.7620089
-0.79027396,0.74329996
-0.8037015,0.72334504
-0.8160697,0.7012583
-0.8273549,0.6784719
-0.8376762,0.6550324
-0.847066,0.63046265
-0.8554277,0.6053373
-0.8628096,0.5797186
-0.86954343,0.554602
-0.8757994,0.52927506
-0.8811382,0.5035895
-0.8856336,0.477609
-0.8891747,0.4515712
-0.8917848,0.422921
-0.89366776,0.39411387
-0.89491594,0.3652085
-0.89562064,0.3362562
-0.89582866,0.303121
-0.8963292,0.26814368
-0.89629716,0.23287241
-0.8958375,0.19771838
-0.8951455,0.15493533
-0.8942537,0.112428464
-0.89324814,0.07020979
-0.8922026,0.028284475
-0.8911448,-0.012805186
-0.89008915,-0.053621903
-0.889031,-0.09417029
-0.8879115,-0.13445896
-0.88459384,-0.17194623
-0.8809339,-0.20875353
-0.8770733,-0.2452837
-0.8728444,-0.2815415
-0.8680064,-0.31926024
-0.8625581,-0.3565176
-0.85633945,-0.39322093
-0.8497495,-0.4289607
-0.84330475,-0.45723215
-0.83606803,-0.48490557
-0.8279554,-0.51189697
-0.81888753,-0.5381175
-0.8087928,-0.5634743
-0.79678786,-0.58842766
-0.7825725,-0.6130549
-0.7678789,-0.6361749
-0.7531755,-0.6560222
-0.7374695,-0.6749009
-0.72076815,-0.6927668
-0.7035502,-0.70933294
-0.6859151,-0.7242929
-0.6667249,-0.7389126
-0.64670795,-0.7526002
-0.62592435,-0.76534593
-0.6044308,-0.7771543
-0.58491325,-0.78523684
-0.564975,-0.79222214
-0.54410297,-0.79851997
-0.52221656,-0.8039973
-0.49986646,-0.8086065
-0.47711444,-0.812399
-0.45545498,-0.814769
-0.43383354,-0.8154359
-0.4120146,-0.8153331
-0.3900478,-0.8145392
-0.3666349,-0.8140825
-0.3420454,-0.81916654
-0.32004952,-0.82526994
-0.30240878,-0.83116174
-0.28301778,-0.83756554
-0.25188828,-0.83535767
-0.22092184,-0.83276546
-0.19013506,-0.8298961
-0.1577829,-0.8277843
-0.12462665,-0.82299733
-0.09266807,-0.81755483
-0.060929358,-0.81211114
-0.029174,-0.8092269
0.0060143024,-0.80919707
0.04691589,-0.8121073
0.08661795,-0.81695163
0.12626955,-0.8229681
0.16785222,-0.82427347
0.21011025,-0.8216895
0.25187892,-0.8186606
0.29490834,-0.81616676
0.33870292,-0.80984986
0.3813733,-0.8022616
0.4236986,-0.7943897
0.46248996,-0.7835059
0.49548322,-0.7745987
0.52685726,-0.7636398
0.55592453,-0.7495351
0.5818008,-0.7331624
0.60322905,-0.71948445
0.62356305,-0.70482445
0.64275336,-0.68918157
0.66030794,-0.67234683
0.6762628,-0.65542924
0.6918623,-0.6363113
0.70484596,-0.62003875
0.716389,-0.6038791
0.72691786,-0.587024
0.736496,-0.5694163
0.7451492,-0.55111015
0.75300574,-0.5322157
0.7601503,-0.5119033
0.7664191,-0.49103042
0.771864,-0.46966448
0.7766442,-0.44792804
0.78087276,-0.4239981
0.78435045,-0.399721
0.78715116,-0.37516692
0.7892973,-0.34917057
0.7908836,-0.31850657
0.79190415,-0.2877392
0.79188436,-0.25817776
0.79073435,-0.23015442
0.7890006,-0.19729227
0.78693277,-0.1645655
0.78462774,-0.13200243
0.7820814,-0.09961937
0.7788953,-0.0629701
0.77489597,-0.025876671
0.7708964,0.010959223
0.76770467,0.047482405
0.76505786,0.08391973
0.76239675,0.120105036
0.75967646,0.15603428
0.7567889,0.19169852
0.75360054,0.22855672
0.75007564,0.2650637
0.74574447,0.30007058
0.7402027,0.33358073
0.7332877,0.37074432
0.72516733,0.4070655
0.7156125,0.44236353
0.70546085,0.47643188
0.6952353,0.5028492
0.6837219,0.5282055
0.6708464,0.5523818
0.65784955,0.5752593
0.64761364,0.5901804
0.6366465,0.60385513
0.6247352,0.61648905
0.6123657,0.62810445
0.599622,0.6378907
0.5861162,0.64672613
0.57188034,0.65461135
0.556957,0.6615561
0.54078263,0.66794837
0.52208364,0.6751206
0.502342,0.682302
0.48160928,0.6887386
0.45988226,0.6946347
0.4377045,0.6997577
0.41514093,0.7041558
0.39131904,0.707957
0.36619413,0.7112986
0.34082973,0.71398103
0.31528842,0.7160729
0.28805542,0.71777093
0.2590349,0.7189963
0.22998595,0.7197298
0.20095807,0.72005415
0.16931829,0.7202641
0.13488263,0.7199117
0.10061687,0.71928346
0.068935215,0.7172792
0.04195553,0.71238995
0.014067858,0.7071136
-0.01481545,0.7033205
-0.04532297,0.70182216
-0.074801326,0.7000481
-0.103687465,0.69800687
-0.13235822,0.6959388
-0.16079944,0.6937957
-0.18941003,0.6928557
-0.21750736,0.6972724
-0.24626607,0.696259
-0.2753442,0.692371
-0.3017767,0.6878072
-0.3275206,0.6814587
-0.35559097,0.671775
-0.38294065,0.6614064
-0.40755332,0.6489301
-0.425322,0.6397276
-0.44068497,0.6308714
-0.45826125,0.6197127
-0.47491127,0.607396
-0.48945493,0.5957104
-0.5031922,0.5831673
-0.5160887,0.56976676
-0.52857673,0.5559132
-0.54105055,0.54282176
-0.5526039,0.5289762
-0.5632354,0.51440704
-0.57294434,0.4991509
-0.5817454,0.48327965
-0.58967066,0.46681243
-0.5967488,0.44979894
-0.6031254,0.4322889
-0.60895574,0.41449818
-0.61413324,0.39741763
-0.6185713,0.3799706
-0.6224698,0.36101684
-0.6258546,0.34014848
-0.6285783,0.31908786
-0.6307144,0.29788768
-0.63285786,0.2755189
-0.634795,0.24991079
-0.6361141,0.22436994
-0.6366862,0.1990589
-0.6368806,0.17379478
-0.63687253,0.14362943
-0.63662755,0.11362595
-0.63622683,0.083805755
-0.6356864,0.05417011
-0.6351085,0.022669598
-0.6345147,-0.008604869
-0.63392055,-0.03965749
-0.63330156,-0.07049629
-0.6318962,-0.10248089
-0.6298885,-0.13460395
-0.62773407,-0.16648865
-0.62528396,-0.1981343
-0.622318,-0.23079512
-0.6172139,-0.25995117
-0.61147755,-0.28876683
-0.6053823,-0.31693015
-0.5993583,-0.33995336
-0.59260213,-0.36256942
-0.5850252,-0.3847116
-0.5765443,-0.4063069
-0.5670846,-0.42727754
-0.55658233,-0.4475415
-0.5449878,-0.4670185
-0.53298277,-0.48523197
-0.52100414,-0.5006796
-0.50815284,-0.51536894
-0.49443883,-0.529263
-0.48107308,-0.5412649
-0.47041154,-0.54984725
-0.45955306,-0.5574386
-0.44818503,-0.5641897
-0.43630934,-0.57012653
-0.42394823,-0.5752648
-0.4111791,-0.5796077
-0.39804193,-0.58318627
-0.38426894,-0.58619153
-0.36977333,-0.58845615
-0.35553756,-0.5905026
-0.34513253,-0.5946996
-0.3363346,-0.5989504
-0.32697207,-0.60252154
-0.3160141,-0.6043699
-0.3002607,-0.6020845
-0.2834853,-0.59980214
-0.26538938,-0.59622216
-0.24586077,-0.59368694
-0.22497663,-0.5922346
-0.20217751,-0.5915972
-0.17654929,-0.5895088
-0.14995667,-0.58998215
-0.123559594,-0.59032893
-0.097120464,-0.59072995
-0.070733964,-0.59074044
-0.04676068,-0.5893731
-0.022959918,-0.5880128
0.006562218,-0.58963287
0.03828463,-0.591822
0.06995857,-0.5931238
0.102850884,-0.5892099
0.13616446,-0.5853336
0.17086059,-0.5803031
0.20513725,-0.5746689
0.23865825,-0.5685067
0.26815253,-0.5614784
0.292144,-0.55643654
0.31591707,-0.5497874
0.33909732,-0.54205954
0.36143106,-0.5335394
0.38283408,-0.524178
0.40322536,-0.51393676
0.42253065,-0.50278914
0.4399593,-0.4906436
0.4553756,-0.47895017
0.46977586,-0.4665129
0.4831379,-0.45334932
0.49527717,-0.43946674
0.5061791,-0.42545262
0.51610816,-0.41085306
0.5250811,-0.39570877
0.5330503,-0.38040844
0.5389481,-0.36713734
0.54388,-0.35316753
0.5478943,-0.33855376
0.5512728,-0.3236216
0.5540168,-0.3072895
0.5560541,-0.29067606
0.5574533,-0.27383494
0.55833745,-0.25683165
0.5586498,-0.23772568
0.5583141,-0.21703485
0.5574853,-0.19571522
0.5562629,-0.1743879
0.55446416,-0.149436
0.5523606,-0.12456325
0.5504783,-0.099832594
0.5487985,-0.07526
0.5468145,-0.04643926
0.5447766,-0.017829493
0.5427277,0.010566004
0.5406907,0.03874903
0.538667,0.06660403
0.5366292,0.09425372
0.53453726,0.12169409
0.53229505,0.1489161
0.52978367,0.17711279
0.5269631,0.20500988
0.52371544,0.23255381
0.5200058,0.2598851
0.51596564,0.28360552
0.51096845,0.30596793
0.5050873,0.3274595
0.4983551,0.34842056
0.49078363,0.36865184
0.48435587,0.38572037
0.47687674,0.40195784
0.46906745,0.4172429
0.46097368,0.4294558
0.4520555,0.4409107
0.44231498,0.45157242
0.4316193,0.4617542
0.41966408,0.47104514
0.40703392,0.4796286
0.39376354,0.48750237
0.37988275,0.4946716
0.36543518,0.5011554
0.35047954,0.5069615
0.33506626,0.5121132
0.31884158,0.5166726
0.30180317,0.52079785
0.2844324,0.52431
0.26678568,0.5272544
0.24807823,0.52974737
0.2282705,0.5318675
0.20831415,0.5334847
0.18826023,0.5346621
0.16672096,0.5355769
0.1436086,0.5360987
0.12052494,0.536275
0.097506315,0.53617847
0.07196808,0.5360864
0.049241185,0.53276336
0.02771017,0.5287931
0.006334588,0.52476466
-0.014901683,0.52072465
-0.03600152,0.5166955
-0.055781513,0.5123764
