index  confidence   rules
 1     1.000        [140.0]=>[0.0]
 2     1.000        [195.0]=>[140.0]
 3     1.000        [140.0]=>[130.0]
 4     1.000        [97.0]=>[130.0]
 5     1.000        [140.0]=>[100.0]
 6     1.000        [97.0]=>[0.0]
 7     1.000        [195.0]=>[100.0]
 8     1.000        [96.0]=>[0.0]
 9     1.000        [96.0]=>[130.0]
 10    1.000        [195.0]=>[0.0]
 11    1.000        [97.0]=>[140.0]
 12    1.000        [96.0]=>[140.0]
 13    1.000        [96.0]=>[100.0]
 14    1.000        [97.0]=>[100.0]
 15    1.000        [195.0]=>[130.0]
 16    1.000        [100.0, 21.1]=>[130.0]
 17    1.000        [130.0, 21.1]=>[100.0]
 18    1.000        [100.0, 21.6]=>[130.0]
 19    1.000        [130.0, 21.6]=>[100.0]
 20    1.000        [100.0, 20.6]=>[130.0]
 21    1.000        [130.0, 20.6]=>[100.0]
 22    1.000        [100.0, 21.0]=>[140.0]
 23    1.000        [140.0, 21.0]=>[100.0]
 24    1.000        [140.0, 21.4]=>[130.0]
 25    1.000        [130.0, 21.4]=>[140.0]
 26    1.000        [0.0, 21.0]=>[140.0]
 27    1.000        [140.0, 21.0]=>[0.0]
 28    1.000        [0.0, 20.3]=>[140.0]
 29    1.000        [140.0, 20.3]=>[0.0]
 30    1.000        [0.0, 20.8]=>[140.0]
 31    1.000        [140.0, 20.8]=>[0.0]
 32    1.000        [140.0, 20.2]=>[130.0]
 33    1.000        [130.0, 20.2]=>[140.0]
 34    1.000        [140.0, 20.7]=>[130.0]
 35    1.000        [130.0, 20.7]=>[140.0]
 36    1.000        [97.0, 100.0]=>[140.0]
 37    1.000        [97.0, 140.0]=>[100.0]
 38    1.000        [97.0]=>[100.0, 140.0]
 39    1.000        [0.0, 20.5]=>[100.0]
 40    1.000        [100.0, 20.5]=>[0.0]
 41    1.000        [0.0, 19.6]=>[130.0]
 42    1.000        [130.0, 19.6]=>[0.0]
 43    1.000        [140.0, 20.4]=>[130.0]
 44    1.000        [130.0, 20.4]=>[140.0]
 45    1.000        [140.0, 20.9]=>[130.0]
 46    1.000        [130.0, 20.9]=>[140.0]
 47    1.000        [140.0, 21.0]=>[130.0]
 48    1.000        [130.0, 21.0]=>[140.0]
 49    1.000        [140.0, 20.3]=>[130.0]
 50    1.000        [130.0, 20.3]=>[140.0]
 51    1.000        [140.0, 20.8]=>[130.0]
 52    1.000        [130.0, 20.8]=>[140.0]
 53    1.000        [19.6, 140.0]=>[130.0]
 54    1.000        [130.0, 19.6]=>[140.0]
 55    1.000        [0.0, 20.4]=>[130.0]
 56    1.000        [130.0, 20.4]=>[0.0]
 57    1.000        [0.0, 20.9]=>[130.0]
 58    1.000        [130.0, 20.9]=>[0.0]
 59    1.000        [140.0, 21.3]=>[130.0]
 60    1.000        [130.0, 21.3]=>[140.0]
 61    1.000        [0.0, 97.0]=>[130.0]
 62    1.000        [97.0, 130.0]=>[0.0]
 63    1.000        [97.0]=>[0.0, 130.0]
 64    1.000        [0.0, 20.2]=>[100.0]
 65    1.000        [100.0, 20.2]=>[0.0]
 66    1.000        [0.0, 20.7]=>[100.0]
 67    1.000        [100.0, 20.7]=>[0.0]
 68    1.000        [0.0, 140.0]=>[130.0]
 69    1.000        [0.0, 130.0]=>[140.0]
 70    1.000        [130.0, 140.0]=>[0.0]
 71    1.000        [140.0]=>[0.0, 130.0]
