index  confidence   rules
 1     1.000        ['14742', '14889', '15206']=>['15165']
 2     1.000        ['14742', '14781', '15206']=>['15165']
 3     1.000        ['14742', '14889', '15206']=>['15296']
 4     1.000        ['14742', '14781', '14889']=>['15296']
 5     1.000        ['14742', '15011', '14889']=>['15296']
 6     1.000        ['14889', '14781', '15011']=>['15296']
 7     1.000        ['14742', '14781', '14889']=>['15165']
 8     1.000        ['15310', '14831', '15331']=>['14948']
 9     1.000        ['14742', '15011', '15206']=>['15165']
 10    1.000        ['14742', '15011', '14889']=>['15165']
 11    1.000        ['14742', '15011', '15206']=>['15296']
 12    1.000        ['14742', '15206', '15296']=>['15165']
 13    1.000        ['14742', '14781', '14767', '14889']=>['15165']
 14    1.000        ['14742', '14781', '14767', '14889']=>['15296']
 15    1.000        ['14717', '15188', '14787', '14931']=>['14197']
 16    1.000        ['14742', '15296', '14767', '15206']=>['15165']
 17    1.000        ['14889', '14781', '15165', '15206']=>['15296']
 18    1.000        ['14742', '14767', '15011', '15206']=>['15165']
 19    1.000        ['14742', '14781', '15011', '15206']=>['15296']
 20    1.000        ['14993', '14717', '15188', '14931']=>['14197']
 21    1.000        ['15310', '14831', '15308', '15331']=>['14948']
 22    1.000        ['14889', '14781', '14767', '15011']=>['15296']
 23    1.000        ['14742', '15165', '15011', '14889']=>['15296']
 24    1.000        ['14742', '15011', '14889', '15296']=>['15165']
 25    1.000        ['14742', '15011', '14889']=>['15165', '15296']
 26    1.000        ['15487', '15525', '14922', '14132']=>['15180']
 27    1.000        ['14742', '14767', '15011', '14889']=>['15165']
 28    1.000        ['14742', '14767', '15165', '14889']=>['15296']
 29    1.000        ['14742', '14767', '14889', '15296']=>['15165']
 30    1.000        ['14742', '14781', '15011', '14889']=>['15296']
 31    1.000        ['14742', '15165', '15011', '15206']=>['15296']
 32    1.000        ['14742', '15296', '15011', '15206']=>['15165']
 33    1.000        ['14742', '15011', '15206']=>['15165', '15296']
 34    1.000        ['14889', '14767', '15011', '15165']=>['15296']
 35    1.000        ['14132', '15010', '14984', '15525']=>['15180']
 36    1.000        ['14742', '14781', '15011', '14889']=>['15165']
 37    1.000        ['14742', '14767', '15011', '14889']=>['15296']
 38    1.000        ['14742', '14781', '14767', '15206']=>['15165']
 39    1.000        ['14742', '14781', '15296', '15206']=>['15165']
 40    1.000        ['15200', '15255', '15180', '14922']=>['14984']
 41    1.000        ['14742', '15165', '14889', '15206']=>['15296']
 42    1.000        ['14742', '15296', '14889', '15206']=>['15165']
 43    1.000        ['14742', '14889', '15206']=>['15165', '15296']
 44    1.000        ['14922', '15010', '15525', '14132']=>['15180']
 45    1.000        ['14742', '14781', '15165', '14889']=>['15296']
 46    1.000        ['14742', '14781', '14889', '15296']=>['15165']
 47    1.000        ['14742', '14781', '14889']=>['15165', '15296']
 48    1.000        ['14742', '14767', '15011', '15206']=>['15296']
 49    1.000        ['14889', '14781', '15165', '15011']=>['15296']
 50    1.000        ['15272', '15525', '14922', '14132']=>['15180']
 51    1.000        ['14742', '14781', '15011', '15206']=>['15165']
 52    1.000        ['14889', '14781', '15165', '14742', '15011']=>['15296']
 53    1.000        ['14889', '14781', '15296', '14742', '15011']=>['15165']
 54    1.000        ['14742', '14781', '15011', '14889']=>['15165', '15296']
 55    1.000        ['15180', '14984', '15272', '14922', '15200']=>['14132']
 56    1.000        ['15206', '14781', '15165', '14742', '15011']=>['15296']
 57    1.000        ['15206', '14781', '15296', '14742', '15011']=>['15165']
 58    1.000        ['14742', '14781', '15011', '15206']=>['15165', '15296']
 59    1.000        ['14984', '14825', '15525', '14922', '14132']=>['15180']
 60    1.000        ['14867', '15206', '15129', '15319', '15009']=>['15202']
 61    1.000        ['15180', '15255', '14922', '14132', '15200']=>['14984']
 62    1.000        ['15206', '15011', '15165', '14742', '14767']=>['15296']
 63    1.000        ['15206', '15011', '15296', '14742', '14767']=>['15165']
 64    1.000        ['14742', '14767', '15011', '15206']=>['15165', '15296']
 65    1.000        ['15010', '14984', '15525', '14132', '15200']=>['15180']
 66    1.000        ['15010', '15525', '14922', '14132', '15200']=>['15180']
 67    1.000        ['14867', '15206', '14889', '15319', '15009']=>['15202']
 68    1.000        ['14889', '14781', '15011', '14742', '14767']=>['15296']
 69    1.000        ['14889', '15011', '14767', '14742', '15165']=>['15296']
 70    1.000        ['14889', '15011', '15296', '14742', '14767']=>['15165']
 71    1.000        ['14742', '14767', '15011', '14889']=>['15165', '15296']
 72    1.000        ['15206', '14781', '15296', '14742', '14767']=>['15165']
 73    1.000        ['15206', '14781', '15011', '14742', '14767']=>['15165']
 74    1.000        ['15010', '14984', '15525', '14922', '14132']=>['15180']
 75    1.000        ['14889', '14781', '15165', '14742', '14767']=>['15296']
 76    1.000        ['14889', '14781', '15296', '14742', '14767']=>['15165']
 77    1.000        ['14742', '14781', '14767', '14889']=>['15165', '15296']
 78    1.000        ['15206', '14781', '15011', '14742', '14767']=>['15296']
 79    1.000        ['14889', '14781', '15011', '14742', '14767']=>['15165']
 80    1.000        ['14984', '14825', '15525', '14132', '15200']=>['15180']
 81    1.000        ['14889', '14781', '15011', '15165', '14767']=>['15296']
 82    1.000        ['14889', '14781', '15011', '15165', '14742', '14767']=>['15296']
 83    1.000        ['14889', '14781', '15011', '15296', '14742', '14767']=>['15165']
 84    1.000        ['14889', '14781', '15011', '14742', '14767']=>['15165', '15296']
 85    1.000        ['14867', '15206', '14889', '15129', '15319', '15009']=>['15202']
 86    1.000        ['15206', '14781', '15011', '15165', '14742', '14767']=>['15296']
 87    1.000        ['15206', '14781', '15011', '15296', '14742', '14767']=>['15165']
 88    1.000        ['15206', '14781', '15011', '14742', '14767']=>['15165', '15296']
 89    1.000        ['14984', '14825', '15525', '14922', '14132', '15200']=>['15180']
 90    1.000        ['15010', '14984', '15525', '14922', '14132', '15200']=>['15180']
 91    0.999        ['15200', '15180', '15248']=>['14984']
 92    0.999        ['15200', '14922', '15010', '14132']=>['15180']
 93    0.999        ['15010', '14984', '14922', '14132', '15200']=>['15180']
 94    0.999        ['15200', '15180', '15248', '14922']=>['14984']
 95    0.999        ['15200', '15180', '15248', '14132']=>['14984']
 96    0.999        ['15180', '14922', '14132', '15200', '15248']=>['14984']
 97    0.999        ['14984', '14922', '14132', '15200', '15248']=>['15180']
 98    0.999        ['15180', '15487', '14922', '14132', '15200']=>['14984']
 99    0.999        ['15487', '14984', '14922', '14132', '15200']=>['15180']
 100   0.999        ['15272', '14922', '14132']=>['15180']
 101   0.999        ['15125', '15526', '15165']=>['14773']
 102   0.999        ['15272', '14984', '14922', '14132']=>['15180']
 103   0.999        ['15125', '15526', '14970']=>['14773']
 104   0.999        ['15200', '15010', '15525', '14132']=>['15180']
 105   0.999        ['14132', '15200', '15272']=>['14984']
 106   0.999        ['15200', '15272', '15180', '14132']=>['14984']
 107   0.999        ['15125', '15117', '14970']=>['14773']
 108   0.999        ['15125', '15526', '15165', '14867']=>['14773']
 109   0.999        ['15200', '15272', '14922', '14132']=>['14984']
 110   0.999        ['15125', '15526', '15117', '14970']=>['14773']
 111   0.999        ['15200', '15272', '15180', '14922']=>['14132']
 112   0.999        ['15200', '15272', '14922', '14132']=>['15180']
 113   0.999        ['15180', '15272', '14922', '14132', '15200']=>['14984']
 114   0.999        ['14984', '15272', '14922', '14132', '15200']=>['15180']
 115   0.999        ['15125', '15526', '14970', '15227']=>['14773']
 116   0.999        ['15125', '15155', '14970']=>['14773']
 117   0.999        ['15125', '15526', '15117', '15227']=>['14773']
 118   0.999        ['15526', '15227', '15117', '14773']=>['15125']
 119   0.999        ['15125', '15227', '15155']=>['14773']
 120   0.999        ['15125', '15526', '15155', '14970']=>['14773']
 121   0.999        ['15117', '15155', '14970']=>['14773']
 122   0.999        ['15180', '15125', '15526', '14970']=>['14773']
 123   0.999        ['15125', '15526', '14867', '15227']=>['14773']
 124   0.999        ['15125', '15227', '15117', '14970']=>['14773']
 125   0.999        ['15227', '14773', '15117', '14970']=>['15125']
 126   0.999        ['15125', '15526', '15155', '15227']=>['14773']
 127   0.999        ['15526', '15227', '14773', '15155']=>['15125']
 128   0.999        ['15125', '15117', '15155', '14970']=>['14773']
 129   0.999        ['15125', '15526', '14970', '14867']=>['14773']
 130   0.999        ['15180', '15125', '15526', '15117']=>['14773']
 131   0.999        ['15180', '15526', '14773', '15117']=>['15125']
 132   0.999        ['15526', '15117', '15155', '14970']=>['14773']
 133   0.999        ['15125', '14970', '15526', '15227', '15117']=>['14773']
 134   0.999        ['14970', '15526', '15227', '15117', '14773']=>['15125']
 135   0.998        ['15125', '15227', '15117', '15155']=>['14773']
 136   0.998        ['15125', '14970', '15526', '15117', '15155']=>['14773']
 137   0.998        ['15180', '15125', '15117', '14970']=>['14773']
 138   0.998        ['15180', '14773', '15117', '14970']=>['15125']
 139   0.998        ['15125', '15227', '15155', '14970']=>['14773']
 140   0.998        ['15180', '15125', '15227', '14970']=>['14773']
 141   0.998        ['15526', '15227', '15155', '14970']=>['15125']
 142   0.998        ['15526', '15227', '15155', '14970']=>['14773']
 143   0.998        ['15125', '15526', '15227', '15117', '15155']=>['14773']
 144   0.998        ['15526', '15227', '15117', '15155', '14773']=>['15125']
 145   0.998        ['15125', '15117', '14867', '14970']=>['14773']
 146   0.998        ['15125', '14970', '15526', '15117', '15180']=>['14773']
 147   0.998        ['14970', '15526', '14773', '15117', '15180']=>['15125']
 148   0.998        ['15125', '14970', '15526', '15227', '15155']=>['14773']
 149   0.998        ['14970', '15526', '15227', '14773', '15155']=>['15125']
 150   0.998        ['15125', '14970', '15526', '15227', '15180']=>['14773']
 151   0.998        ['15180', '15125', '15155', '14970']=>['14773']
 152   0.998        ['15180', '15125', '15117', '15155']=>['14773']
 153   0.998        ['15125', '15227', '14970', '14867']=>['14773']
 154   0.998        ['15125', '14867', '14970', '15526', '15117']=>['14773']
 155   0.998        ['15180', '15125', '15227', '15117']=>['14773']
 156   0.998        ['15227', '15117', '15155', '14970']=>['15125']
 157   0.998        ['15227', '15117', '15155', '14970']=>['14773']
 158   0.998        ['15125', '14970', '15227', '15117', '15155']=>['14773']
 159   0.998        ['14970', '15227', '14773', '15117', '15155']=>['15125']
 160   0.998        ['15125', '14970', '15526', '15155', '15180']=>['14773']
 161   0.998        ['15125', '14970', '15155', '14867']=>['14773']
 162   0.998        ['15125', '14867', '14970', '15526', '15227']=>['14773']
 163   0.998        ['14970', '15526', '15227', '15117', '15155']=>['14773']
 164   0.998        ['15125', '15526', '15117', '15155', '15180']=>['14773']
 165   0.998        ['15526', '14773', '15117', '15155', '15180']=>['15125']
 166   0.998        ['14970', '15526', '15227', '15117', '15155']=>['15125']
 167   0.998        ['15125', '15526', '15227', '15117', '15180']=>['14773']
 168   0.998        ['15526', '15227', '15117', '14773', '15180']=>['15125']
 169   0.998        ['15125', '14867', '15526', '15227', '15117']=>['14773']
 170   0.998        ['14867', '15526', '15227', '14773', '15117']=>['15125']
 171   0.998        ['15125', '14970', '15526', '15227', '15117', '15155']=>['14773']
 172   0.998        ['14970', '15526', '15227', '15117', '15155', '14773']=>['15125']
 173   0.998        ['15125', '15165', '15117']=>['14773']
 174   0.998        ['15180', '15125', '15227', '15155']=>['14773']
 175   0.998        ['15180', '15117', '15155', '14970']=>['15125']
 176   0.998        ['15180', '15227', '15117', '14970']=>['15125']
 177   0.998        ['15180', '15117', '15155', '14970']=>['14773']
 178   0.998        ['15180', '15227', '15117', '14970']=>['14773']
 179   0.998        ['15180', '15125', '14970', '14867']=>['14773']
 180   0.998        ['15117', '15155', '14867', '14970']=>['14773']
 181   0.998        ['15125', '15526', '15165', '14970']=>['14773']
 182   0.998        ['15125', '15227', '15155', '14867']=>['14773']
 183   0.998        ['15125', '14970', '15117', '15155', '15180']=>['14773']
 184   0.998        ['14970', '14773', '15117', '15155', '15180']=>['15125']
 185   0.998        ['15125', '14970', '15227', '15117', '15180']=>['14773']
 186   0.998        ['14970', '15227', '14773', '15117', '15180']=>['15125']
 187   0.998        ['15125', '14867', '14970', '15526', '15155']=>['14773']
 188   0.998        ['14922', '14984', '14825', '14132']=>['15180']
 189   0.998        ['15125', '15526', '15165', '15227']=>['14773']
 190   0.998        ['15180', '15526', '15227', '15155']=>['14773']
 191   0.998        ['15180', '15526', '15227', '15155']=>['15125']
 192   0.998        ['15125', '15526', '15117', '15165']=>['14773']
 193   0.998        ['14970', '15526', '15227', '15117', '15180']=>['15125']
 194   0.998        ['14970', '15526', '15117', '15155', '15180']=>['15125']
 195   0.998        ['14970', '15526', '15117', '15155', '15180']=>['14773']
 196   0.998        ['15125', '14867', '14970', '15526', '15180']=>['14773']
 197   0.998        ['14970', '15526', '15227', '15117', '15180']=>['14773']
 198   0.998        ['15125', '15526', '15227', '15155', '15180']=>['14773']
 199   0.998        ['15526', '15227', '14773', '15155', '15180']=>['15125']
 200   0.998        ['15125', '14867', '14970', '15227', '15117']=>['14773']
 201   0.998        ['14867', '14970', '15227', '14773', '15117']=>['15125']
 202   0.998        ['15125', '14970', '15526', '15117', '15155', '15180']=>['14773']
 203   0.998        ['14970', '15526', '14773', '15117', '15155', '15180']=>['15125']
 204   0.998        ['15125', '14970', '15526', '15227', '15117', '15180']=>['14773']
 205   0.998        ['14970', '15526', '15227', '15117', '14773', '15180']=>['15125']
 206   0.998        ['15125', '15117', '14970', '15165']=>['14773']
 207   0.998        ['15180', '15227', '15155', '14970']=>['15125']
 208   0.998        ['15180', '15227', '15155', '14970']=>['14773']
 209   0.998        ['15125', '14867', '14970', '15117', '15155']=>['14773']
 210   0.998        ['15125', '14867', '15526', '15227', '15155']=>['14773']
 211   0.998        ['14867', '15526', '15227', '14773', '15155']=>['15125']
 212   0.998        ['15125', '14970', '15227', '15155', '15180']=>['14773']
 213   0.998        ['14970', '15227', '14773', '15155', '15180']=>['15125']
 214   0.998        ['15180', '15165', '15125']=>['14773']
