id,tested_positive
0,66.1421
1,82.60081
2,87.896515
3,90.99421
4,77.63844
5,79.1216
6,64.77107
7,63.596325
8,87.03083
9,93.17121
10,88.15447
11,90.63999
12,97.743355
13,91.73178
14,67.07458
15,71.67749
16,71.343414
17,92.79078
18,80.36768
19,85.814545
20,96.60074
21,74.08563
22,76.501175
23,73.53449
24,87.66168
25,74.36421
26,88.553345
27,69.46701
28,80.10843
29,49.61112
30,67.184
31,77.54768
32,78.80373
33,88.51729
34,90.84108
35,93.11489
36,75.06122
37,77.19767
38,83.02081
39,94.75027
40,56.313175
41,74.88283
42,85.53427
43,84.03439
44,81.57128
45,82.809875
46,84.03093
47,94.52338
48,87.36797
49,83.22728
50,90.40755
51,94.2624
52,85.389885
53,86.65478
54,85.19983
55,90.379326
56,72.700905
57,79.342606
58,78.88334
59,86.15488
60,35.41653
61,60.19415
62,91.4519
63,77.26866
64,55.37424
65,83.859276
66,88.33133
67,88.12878
68,96.399376
69,87.68955
70,89.68935
71,78.241905
72,82.76143
73,85.9748
74,53.666374
75,73.647804
76,91.79233
77,79.87231
78,72.73347
79,88.807205
80,88.807205
81,62.41737
82,88.273865
83,88.273865
84,91.84759
85,92.339165
86,92.339165
87,66.05024
88,89.486694
89,89.486694
90,85.50945
91,97.457344
92,97.457344
93,72.12062
94,84.02995
95,84.02995
96,92.09179
97,74.00547
98,92.10843
99,70.94377
100,97.679535
101,85.24262
102,90.598335
103,94.41701
104,87.534195
105,91.55278
106,91.18502
107,88.83444
108,86.920006
109,90.22453
110,85.87589
111,85.53748
112,95.90445
113,87.643425
114,82.70173
115,55.169697
116,85.72491
117,85.72855
118,87.07687
119,93.91669
120,80.92384
121,69.828636
122,79.69416
123,82.71509
124,95.79951
125,87.46202
126,91.62088
127,60.667892
128,89.25134
129,89.46634
130,91.36868
131,89.92157
132,87.84228
133,56.137917
134,89.140526
135,91.96514
136,88.459724
137,85.18076
138,92.36653
139,74.27703
140,82.37473
141,93.92617
142,71.2419
143,80.2291
144,91.34921
145,87.779106
146,81.72219
147,92.11268
148,42.219498
149,73.22381
150,92.1499
151,89.32278
152,77.829
153,83.228355
154,76.23697
155,58.35503
156,81.04694
157,54.75441
158,70.01278
159,93.66799
160,74.417946
161,84.48068
162,71.78678
163,66.90347
164,74.75308
165,87.159256
166,83.02307
167,65.975204
168,90.643936
169,71.70361
170,67.53142
171,76.06487
172,86.96196
173,84.77277
174,73.29058
175,74.805595
176,67.80621
177,62.402073
178,79.43889
179,79.53815
180,80.15782
181,79.04641
182,66.8651
183,75.59495
184,72.29604
185,83.60851
186,79.34155
