rowseq,prodate,prodtime,shift,hogi,stage_x,ordno,batchno,compno,stimes,etimes,mntime,mxtime,mxtemp,mxkwh,mxrpm,part,start_temp,stop_temp,stop_power,setnum,upload_yn,datetime,time_range,groupid,tmh,worktype,cdrub,stage_y,mchid,wdate,wsht,batno,mnval,mngrd,create_time,bzval,bzgrd,ydval,ydgrd,mhval,mhgrd,mlval,mlgrd,t10val,t10grd,t50val,t50grd,t90val,t90grd,lbgrd,grd,mnmch,lbmch
车次代号,生产日期,生产时间,班次,生产机台,炼胶阶段,炼胶车数,车次,胶料品名,开始时间,结束时间,排胶时间,混炼时间,混炼温度,混炼功率,转子转速,班次,开始温度,结束温度,停止功率,设定值,是否上传数据,生产时间戳,时间区间,,检验顺序号,胶料号,胶料号,炼胶阶段,生产机台,日期,班次,生产车次,门尼值,门尼等级,检测时间戳,比重,比重等级,硬度,硬度等级,硫变,硫变等级,硫变,硫变等级,硫变,硫变等级,硫变,硫变等级,硫变,硫变等级,硫变等级,等级,门尼检测机台号,硫变检测机台号
23AN051549014,20231023,54741,3,B03,F ,14,14,L-FM-B166-07,2023/10/23 5:45,2023/10/23 5:47,85,105,103.7,226,23,C,92,103.7,1151,14,Y,2023/10/23 5:47,105,20,E101B032023102230132,L-FM-B166-07,B166  ,FM ,B03,20231022,3,14,59.3,0,2023/10/23 7:04,1.115,1,64,1,12.65,1,2.63,1,31.6,1,57.5,0,96.4,1,1,1,K05,G02
23AN051549013,20231023,54543,3,B03,F ,14,13,L-FM-B166-07,2023/10/23 5:43,2023/10/23 5:45,88,109,105.1,58,23,C,92,105.1,628,14,Y,2023/10/23 5:45,108,20,E101B032023102230132,L-FM-B166-07,B166  ,FM ,B03,20231022,3,13,59.3,0,2023/10/23 7:04,1.119,1,63,1,12.77,1,2.68,1,32,1,57.2,0,96,1,1,1,K05,G02
23AN051549012,20231023,54341,3,B03,F ,14,12,L-FM-B166-07,2023/10/23 5:41,2023/10/23 5:43,87,107,105.5,248,24,C,87,105.5,1418,14,Y,2023/10/23 5:43,107,20,E101B032023102230131,L-FM-B166-07,B166  ,FM ,B03,20231022,3,12,59.3,0,2023/10/23 7:04,1.117,1,63,1,12.58,1,2.68,1,31.7,1,57,0,95.8,1,1,1,K05,G02
23AN051549011,20231023,54140,3,B03,F ,14,11,L-FM-B166-07,2023/10/23 5:39,2023/10/23 5:41,85,105,105.7,225,23,C,90,105.7,1350,14,Y,2023/10/23 5:41,104,20,E101B032023102230131,L-FM-B166-07,B166  ,FM ,B03,20231022,3,11,59.3,0,2023/10/23 7:04,1.121,1,63,1,12.48,1,2.66,1,31.8,1,56.6,0,94.8,1,1,1,K05,G02
23AN051549010,20231023,53944,3,B03,F ,14,10,L-FM-B166-07,2023/10/23 5:37,2023/10/23 5:39,92,112,104,66,24,C,87,104,1292,14,Y,2023/10/23 5:39,113,20,E101B032023102230130,L-FM-B166-07,B166  ,FM ,B03,20231022,3,10,60.7,0,2023/10/23 7:04,1.125,1,64,1,12.51,1,2.66,1,31.7,1,56.9,0,95.4,1,1,1,K04,G02
23AN051549009,20231023,53738,3,B03,F ,14,9,L-FM-B166-07,2023/10/23 5:35,2023/10/23 5:37,87,107,104.9,225,23,C,90,104.9,1089,14,Y,2023/10/23 5:37,108,20,E101B032023102230130,L-FM-B166-07,B166  ,FM ,B03,20231022,3,9,60.7,0,2023/10/23 7:04,1.125,1,63,1,12.44,1,2.65,1,31.6,1,56.7,0,96,1,1,1,K04,G02
23AN051549008,20231023,53537,3,B03,F ,14,8,L-FM-B166-07,2023/10/23 5:33,2023/10/23 5:35,86,107,104.7,47,23,C,97,104.7,696,14,Y,2023/10/23 5:35,107,20,E101B032023102230129,L-FM-B166-07,B166  ,FM ,B03,20231022,3,8,62.1,0,2023/10/23 7:04,1.126,1,63,1,13.28,1,2.71,1,29.9,1,54.4,0,93.1,1,1,1,K04,G02
23AN051549007,20231023,53336,3,B03,F ,14,7,L-FM-B166-07,2023/10/23 5:31,2023/10/23 5:33,86,106,104.8,230,24,C,91,104.8,885,14,Y,2023/10/23 5:33,106,20,E101B032023102230129,L-FM-B166-07,B166  ,FM ,B03,20231022,3,7,62.1,0,2023/10/23 7:15,1.123,1,64,1,13.11,1,2.79,1,30.3,1,54.7,0,92.4,1,1,1,K04,G02
23AN051549006,20231023,53137,3,B03,F ,14,6,L-FM-B166-07,2023/10/23 5:29,2023/10/23 5:31,87,107,105.3,237,23,C,95,105.3,1211,14,Y,2023/10/23 5:31,106,20,E101B032023102230128,L-FM-B166-07,B166  ,FM ,B03,20231022,3,6,71.6,0,2023/10/23 7:12,1.121,1,63,1,12.58,1,2.7,1,30.4,1,55.6,0,93.2,1,1,1,K03,G02
