0,1,2,3,4,5,6,7,8,9,10,11,12,13
1.0,56.0,2.0,92.0,109.0,109.3,250.0,24.0,105.0,109.3,792.0,56.0,108.0,91.2
1.0,56.0,17.0,92.0,109.0,111.8,246.0,25.0,125.0,111.8,346.0,56.0,108.0,91.1
1.0,56.0,3.0,92.0,109.0,110.8,249.0,24.0,117.0,110.8,936.0,56.0,108.0,91.1
1.0,56.0,18.0,92.0,109.0,109.8,261.0,24.0,119.0,109.8,829.0,56.0,108.0,91.1
1.0,56.0,4.0,92.0,109.0,111.6,59.0,24.0,111.0,111.6,893.0,56.0,108.0,91.1
1.0,56.0,19.0,92.0,109.0,110.9,256.0,24.0,115.0,110.9,471.0,56.0,108.0,89.2
1.0,56.0,5.0,92.0,109.0,111.6,237.0,25.0,101.0,111.6,1001.0,56.0,108.0,90.2
1.0,56.0,20.0,92.0,109.0,109.1,71.0,24.0,107.0,109.1,471.0,56.0,108.0,89.2
1.0,56.0,6.0,92.0,109.0,111.2,237.0,25.0,118.0,111.2,1322.0,56.0,109.0,90.2
1.0,56.0,21.0,92.0,109.0,111.9,225.0,24.0,125.0,111.9,1084.0,56.0,109.0,92.8
1.0,56.0,7.0,92.0,109.0,110.1,234.0,25.0,118.0,110.1,937.0,56.0,108.0,89.9
1.0,56.0,22.0,92.0,109.0,111.2,223.0,24.0,120.0,111.2,1169.0,56.0,109.0,92.8
1.0,56.0,8.0,92.0,109.0,106.9,246.0,25.0,138.0,106.9,1241.0,56.0,108.0,89.9
1.0,56.0,23.0,92.0,109.0,108.9,66.0,25.0,120.0,108.9,1995.0,56.0,109.0,91.1
1.0,56.0,9.0,92.0,109.0,110.9,251.0,24.0,104.0,110.9,1504.0,56.0,108.0,88.8
1.0,56.0,24.0,92.0,109.0,111.9,55.0,25.0,101.0,111.9,1019.0,56.0,108.0,91.1
1.0,56.0,25.0,92.0,109.0,111.7,238.0,24.0,104.0,111.7,1326.0,56.0,108.0,91.3
1.0,56.0,26.0,92.0,109.0,112.2,251.0,24.0,125.0,112.2,1080.0,56.0,108.0,91.3
1.0,56.0,27.0,92.0,109.0,113.2,244.0,24.0,114.0,113.2,651.0,56.0,108.0,88.9
1.0,56.0,28.0,92.0,109.0,109.7,244.0,25.0,118.0,109.7,656.0,56.0,108.0,88.9
1.0,56.0,29.0,92.0,109.0,109.0,244.0,24.0,130.0,109.0,1031.0,56.0,108.0,89.0
1.0,56.0,30.0,92.0,109.0,112.1,244.0,25.0,103.0,112.1,1157.0,56.0,109.0,89.0
1.0,56.0,31.0,92.0,109.0,111.1,233.0,25.0,106.0,111.1,1203.0,56.0,109.0,88.3
1.0,56.0,32.0,92.0,109.0,112.4,65.0,25.0,113.0,112.4,918.0,56.0,109.0,88.3
1.0,56.0,33.0,92.0,109.0,108.8,241.0,24.0,114.0,108.8,1500.0,56.0,108.0,88.3
1.0,56.0,34.0,92.0,109.0,108.8,229.0,24.0,107.0,108.8,737.0,56.0,108.0,88.3
1.0,56.0,35.0,92.0,109.0,106.5,235.0,24.0,116.0,106.5,805.0,56.0,107.0,88.3
1.0,56.0,1.0,92.0,109.0,106.5,225.0,24.0,107.0,106.5,1098.0,56.0,109.0,92.6
1.0,56.0,36.0,92.0,109.0,109.3,246.0,24.0,108.0,109.3,820.0,56.0,109.0,92.6
1.0,56.0,2.0,92.0,109.0,107.2,234.0,24.0,99.0,107.2,625.0,56.0,109.0,92.6
1.0,56.0,37.0,92.0,109.0,111.2,271.0,24.0,99.0,111.2,1004.0,56.0,108.0,92.6
1.0,56.0,3.0,92.0,109.0,111.5,37.0,24.0,102.0,111.5,572.0,56.0,108.0,92.2
1.0,56.0,38.0,92.0,109.0,109.3,254.0,26.0,103.0,109.3,1369.0,56.0,108.0,92.2
1.0,56.0,4.0,92.0,109.0,111.2,53.0,24.0,119.0,111.2,1154.0,56.0,108.0,92.2
1.0,56.0,39.0,92.0,109.0,110.1,239.0,24.0,122.0,110.1,795.0,56.0,109.0,92.2
1.0,56.0,5.0,92.0,109.0,107.9,240.0,24.0,122.0,107.9,754.0,56.0,108.0,91.3
1.0,56.0,40.0,92.0,109.0,107.8,50.0,24.0,119.0,107.8,1016.0,56.0,108.0,91.3
1.0,56.0,6.0,92.0,109.0,107.3,246.0,24.0,110.0,107.3,1036.0,56.0,108.0,91.3
1.0,56.0,41.0,92.0,109.0,106.6,227.0,24.0,110.0,106.6,759.0,56.0,108.0,91.3
1.0,56.0,7.0,92.0,109.0,106.7,234.0,26.0,135.0,106.7,844.0,56.0,109.0,90.9
1.0,56.0,42.0,92.0,109.0,107.5,63.0,25.0,117.0,107.5,548.0,56.0,109.0,90.9
1.0,56.0,8.0,92.0,109.0,110.6,249.0,24.0,110.0,110.6,689.0,56.0,108.0,90.9
1.0,56.0,43.0,92.0,109.0,111.0,241.0,27.0,123.0,111.0,883.0,56.0,109.0,90.9
1.0,56.0,9.0,92.0,109.0,110.4,231.0,24.0,114.0,110.4,1003.0,56.0,108.0,91.2
1.0,56.0,44.0,92.0,109.0,110.6,68.0,24.0,117.0,110.6,1131.0,56.0,109.0,91.2
1.0,56.0,10.0,92.0,109.0,111.5,230.0,24.0,114.0,111.5,967.0,56.0,108.0,91.2
1.0,56.0,45.0,92.0,109.0,111.2,60.0,24.0,110.0,111.2,1535.0,56.0,108.0,91.2
1.0,56.0,11.0,95.0,112.0,105.2,256.0,24.0,118.0,105.2,724.0,56.0,110.0,91.2
1.0,56.0,46.0,92.0,109.0,110.0,251.0,25.0,112.0,110.0,792.0,56.0,108.0,91.2
1.0,56.0,12.0,92.0,109.0,107.9,226.0,25.0,122.0,107.9,465.0,56.0,109.0,91.2
1.0,56.0,47.0,92.0,109.0,107.7,223.0,24.0,113.0,107.7,1745.0,56.0,109.0,91.2
1.0,56.0,13.0,92.0,109.0,109.6,238.0,24.0,128.0,109.6,1228.0,56.0,108.0,90.9
1.0,56.0,48.0,92.0,109.0,112.1,241.0,24.0,111.0,112.1,864.0,56.0,108.0,90.9
1.0,56.0,14.0,92.0,109.0,108.8,256.0,25.0,120.0,108.8,1121.0,56.0,109.0,90.9
1.0,56.0,15.0,92.0,109.0,111.4,239.0,25.0,114.0,111.4,1300.0,56.0,109.0,91.0
1.0,56.0,49.0,92.0,109.0,109.0,242.0,24.0,112.0,109.0,808.0,56.0,108.0,91.0
1.0,56.0,16.0,92.0,109.0,110.2,218.0,24.0,107.0,110.2,873.0,56.0,108.0,91.0
1.0,56.0,50.0,92.0,109.0,108.9,234.0,25.0,106.0,108.9,828.0,56.0,109.0,91.0
1.0,56.0,17.0,92.0,109.0,110.7,63.0,24.0,125.0,110.7,719.0,56.0,109.0,90.0
1.0,56.0,51.0,92.0,109.0,113.3,238.0,26.0,126.0,113.3,750.0,56.0,109.0,90.0
1.0,56.0,18.0,92.0,109.0,108.6,220.0,25.0,97.0,108.6,189.0,56.0,109.0,90.0
1.0,56.0,10.0,108.0,132.0,103.9,267.0,24.0,88.0,103.9,600.0,56.0,130.0,88.8
1.0,56.0,52.0,92.0,109.0,111.0,265.0,24.0,116.0,111.0,937.0,56.0,108.0,88.8
1.0,56.0,19.0,92.0,109.0,111.3,249.0,25.0,108.0,111.3,1006.0,56.0,109.0,87.9
1.0,56.0,11.0,92.0,109.0,106.7,228.0,24.0,101.0,106.7,843.0,56.0,109.0,88.9
1.0,56.0,53.0,92.0,109.0,113.0,263.0,24.0,124.0,113.0,359.0,56.0,107.0,88.9
1.0,56.0,20.0,92.0,109.0,111.9,59.0,25.0,127.0,111.9,1158.0,56.0,109.0,87.9
