0,1,2,3,4,5,6,7,8,9,10,11,12,13
3.0,14.0,2.0,96.0,117.0,104.9,261.0,23.0,75.0,104.9,658.0,14.0,116.0,58.4
3.0,14.0,3.0,94.0,114.0,105.2,68.0,24.0,89.0,105.2,1236.0,14.0,114.0,62.5
3.0,14.0,4.0,88.0,108.0,104.0,228.0,23.0,97.0,104.0,368.0,14.0,108.0,62.5
3.0,14.0,5.0,93.0,113.0,105.1,246.0,23.0,100.0,105.1,561.0,14.0,112.0,71.6
3.0,14.0,6.0,87.0,107.0,105.3,237.0,23.0,95.0,105.3,1211.0,14.0,106.0,71.6
3.0,14.0,7.0,86.0,106.0,104.8,230.0,24.0,91.0,104.8,885.0,14.0,106.0,62.1
3.0,14.0,8.0,86.0,107.0,104.7,47.0,23.0,97.0,104.7,696.0,14.0,107.0,62.1
3.0,14.0,9.0,87.0,107.0,104.9,225.0,23.0,90.0,104.9,1089.0,14.0,108.0,60.7
3.0,14.0,10.0,92.0,112.0,104.0,66.0,24.0,87.0,104.0,1292.0,14.0,113.0,60.7
3.0,14.0,11.0,85.0,105.0,105.7,225.0,23.0,90.0,105.7,1350.0,14.0,104.0,59.3
3.0,14.0,12.0,87.0,107.0,105.5,248.0,24.0,87.0,105.5,1418.0,14.0,107.0,59.3
3.0,14.0,13.0,88.0,109.0,105.1,58.0,23.0,92.0,105.1,628.0,14.0,108.0,59.3
3.0,14.0,14.0,85.0,105.0,103.7,226.0,23.0,92.0,103.7,1151.0,14.0,105.0,59.3
3.0,8.0,1.0,95.0,136.0,112.3,85.0,24.0,70.0,112.3,881.0,8.0,135.0,61.3
3.0,8.0,2.0,104.0,120.0,103.7,265.0,30.0,100.0,103.7,351.0,8.0,119.0,60.4
3.0,8.0,3.0,99.0,115.0,103.8,259.0,30.0,87.0,103.8,589.0,8.0,115.0,60.2
3.0,8.0,4.0,101.0,116.0,103.7,92.0,30.0,104.0,103.7,979.0,8.0,115.0,59.6
3.0,8.0,5.0,98.0,113.0,103.5,248.0,30.0,91.0,103.5,1316.0,8.0,112.0,60.9
3.0,8.0,6.0,100.0,115.0,103.8,278.0,30.0,98.0,103.8,918.0,8.0,114.0,60.2
3.0,8.0,7.0,104.0,120.0,103.7,287.0,30.0,93.0,103.7,1053.0,8.0,118.0,60.0
3.0,8.0,3.0,102.0,118.0,108.6,121.0,29.0,94.0,108.6,302.0,8.0,116.0,57.4
3.0,8.0,4.0,96.0,112.0,108.1,113.0,28.0,89.0,108.1,303.0,8.0,110.0,57.4
3.0,8.0,5.0,94.0,109.0,101.3,105.0,28.0,94.0,101.3,302.0,8.0,107.0,59.7
3.0,8.0,6.0,94.0,109.0,104.3,103.0,29.0,95.0,104.3,338.0,8.0,107.0,59.7
3.0,8.0,7.0,94.0,109.0,109.3,101.0,29.0,94.0,109.3,338.0,8.0,107.0,59.3
3.0,8.0,8.0,94.0,109.0,108.5,106.0,27.0,97.0,108.5,286.0,8.0,106.0,59.3
1.0,12.0,1.0,89.0,105.0,105.9,45.0,29.0,90.0,105.9,189.0,12.0,104.0,73.3
1.0,12.0,2.0,83.0,98.0,105.9,39.0,29.0,100.0,105.9,198.0,12.0,97.0,73.3
1.0,12.0,3.0,87.0,102.0,105.7,36.0,29.0,100.0,105.7,216.0,12.0,102.0,73.1
1.0,12.0,4.0,83.0,102.0,106.4,36.0,26.0,99.0,106.4,203.0,12.0,122.0,73.1
1.0,12.0,5.0,83.0,98.0,106.9,39.0,27.0,96.0,106.9,203.0,12.0,96.0,72.2
1.0,12.0,6.0,83.0,98.0,106.9,38.0,29.0,102.0,106.9,207.0,12.0,99.0,72.2
1.0,12.0,7.0,83.0,98.0,105.5,37.0,29.0,100.0,105.5,207.0,12.0,99.0,73.9
1.0,12.0,8.0,83.0,98.0,106.7,37.0,29.0,105.0,106.7,204.0,12.0,97.0,73.9
1.0,12.0,9.0,83.0,98.0,107.4,36.0,30.0,104.0,107.4,218.0,12.0,97.0,74.2
1.0,12.0,10.0,83.0,98.0,107.8,36.0,29.0,103.0,107.8,209.0,12.0,98.0,74.2
1.0,12.0,11.0,83.0,98.0,107.4,39.0,26.0,102.0,107.4,198.0,12.0,98.0,74.7
1.0,12.0,12.0,83.0,98.0,107.1,38.0,26.0,101.0,107.1,211.0,12.0,97.0,74.7
3.0,66.0,1.0,85.0,102.0,101.5,35.0,34.0,85.0,101.5,129.0,66.0,101.0,54.0
3.0,66.0,2.0,85.0,101.0,103.1,35.0,35.0,91.0,103.1,127.0,66.0,102.0,54.0
3.0,66.0,3.0,85.0,100.0,103.6,34.0,35.0,92.0,103.6,132.0,66.0,99.0,53.7
3.0,66.0,4.0,85.0,101.0,104.4,35.0,35.0,95.0,104.4,133.0,66.0,102.0,53.7
3.0,66.0,5.0,85.0,100.0,105.8,35.0,34.0,98.0,105.8,132.0,66.0,100.0,54.8
3.0,66.0,6.0,85.0,102.0,106.5,35.0,35.0,98.0,106.5,124.0,66.0,101.0,54.8
3.0,66.0,7.0,85.0,100.0,105.6,35.0,35.0,99.0,105.6,126.0,66.0,99.0,55.2
3.0,66.0,8.0,85.0,100.0,106.2,35.0,35.0,99.0,106.2,132.0,66.0,99.0,55.2
3.0,66.0,9.0,85.0,100.0,103.9,34.0,35.0,93.0,103.9,124.0,66.0,100.0,54.7
